msg_bits,message,received,decoded,pass
20,10000111010010011111,1111101100110010101000100011100000110101100111,10000111010010011111,1
20,11010101011010101111,1100011000010001000111011000010001011001100111,11010101011010101111,1
20,00111100011110110111,0000110010011001111100100110001101101110100111,00111100011110110111,1
20,01011001110100110101,1011110111010100001010100010000001100001001011,01011001110100110101,1
20,10110011011010001110,1111011101010000011011010000101111001010011100,10110011011010001110,1
20,10001101011111001100,1111101111000110000111100101100100000101111000,10001101011111001100,1
20,11110011110011010010,1100100110010010100110010000011000100011101100,11110011110011010010,1
20,11010011011100011101,1100011000100000011111101001111100101010001011,11010011011100011101,1
20,11010100101001010101,1100011000010010001101001000110110010001001011,11010100101001010101,1
20,01110001101111111001,0011001010010111000110111001010101100100111011,01110001101111111001,1
20,01110101100000011100,0011001010100001110101110000001100111001110000,01110101100000011100,1
20,00110010111001001110,0000110001010011011100100100111000001010011100,00110010111001001110,1
20,01010001001001110100,0011110100101111111001111000001010100010110000,01010001001001110100,1
20,10100011101110100011,1111010010111100101010111010100010111100010101,10100011101110100011,1
20,10011000000110010100,1110100000010111000000110001010011010010110000,10011000000110010100,1
20,01110111010011000111,0011001010001110101000100000010111110010100111,01110111010011000111,1
20,00000010001000000111,0000000000011111101111111011000000110010100111,00000010001000000111,1
20,10111110000001000001,1111011110010110011100000011111010000011111011,10111110000001000001,1
20,01111010100110010010,0011001001101000010010000001010011100001101100,01111010100110010010,1
20,11001110011001010001,1100010100011010010000010100110100101111111011,11001110011001010001,1
20,00100001010100011011,0000111110111011110100010010111100011011010111,00100001010100011011,1
20,10001110000001011110,1111101111011010011100000011110111100110011100,10001110000001011110,1
20,10011000101111111101,1111100001010111111101111001010101011010001011,10011000101111111101,1
20,10110001001110011101,1111011101011111111100001010010000101010001011,10110001001110011101,1
20,11111111000001001010,1100100101010101100111000011111000010100101100,11111111000001001010,1
20,01001000101011100010,0011111000111011111101000111101011111111101100,01001000101011100010,1
20,01001110000001011100,0011111000001010011100100011110111101001110000,01001110000001011100,1
20,00010001111111111011,0000001111101111001001110101010101101011010111,00010001111111111011,1
20,10100101111000101111,1111010010001101111001100111111100111001100111,10100101111000101111,1
20,01110101101110110111,0011001010100001110110111010111101101110100111,01110101101110110111,1
20,00011100011100010010,0000001100101001111100101011111111100011101100,00011100011100010010,1
20,01100100001010110011,0011000101001110110011110100011101010000110111,01100100001010110011,1
20,01100011110011000011,0011000101111100100111010000010111001100010111,01100011110011000011,1
20,10101111001001111011,1111010000111001100100111000001001101011010111,10101111001001111011,1
20,11010101010111100010,1100011000010001000100011110011001101111101100,11010101010111100010,1
20,00110000110000101111,0000110001011100110011011100111101111001100111,00110000110000101111,1
20,00101011101001110111,0000111101000111101010001000001010101110100101,00101011101001110111,1
20,01001110001101101111,0011111000001010011111000110110110110001100111,01001110001101101111,1
20,10000000001000000101,1111101100010000000011111011000000111101001011,10000000001000000101,1
20,11111100100101101101,1100100101011011001110001101110110110110001011,11111100100101101101,1
20,00101101001011000111,0000111101110100001000110111010111110010100111,00101101001011000111,1
20,10010000011100011100,1111100111101100001100101001111100101001110000,10010000011100011100,1
20,00110110011000100011,0000110101101101010000010111111110111100010111,00110110011000100011,1
20,10000010100010011001,1111101100001111010010101111100000010100111011,10000010100010011001,1
20,00110110000110011000,0000110001101101011100110001110000010111000000,00110110000110011000,1
20,00011101100010100100,0000001100101010110101111111010010001010110000,00011101100010100100,1
20,11101011010101001101,1100101010000111011000010011001000000110001011,11101011010101001101,1
20,11110001010010011101,1100100110011111110100100011100000111010001011,11110001010010011101,1
20,11001001100001010001,1100010100111000000101110011110100111111111011,11001001100001010001,1
20,11011111100010001111,1100011011100101011001111111101111001001100110,11011111100010001111,1
20,00110000001100100001,0000110001011100000011000101001110010011111011,00110000001100100001,1
