ebno_db,uncoded_theory,uncoded,rtl,terminated,terminated20,terminated100,soft
0.0,0.07864960352514255,0.07899285714285714,0.20606428571428573,0.17472857142857143,0.207105,0.2269895,0.12102857142857143
0.5,0.06706519832961276,0.06742857142857143,0.18378571428571427,0.1482857142857143,0.1749825,0.18895,0.09695714285714285
1.0,0.05628195197654146,0.05657857142857143,0.15817142857142857,0.12726428571428572,0.142725,0.152969,0.07742857142857143
1.5,0.046401275956071304,0.04632857142857143,0.13504285714285713,0.09879285714285714,0.111875,0.11549,0.06
2.0,0.03750612835892598,0.03736428571428571,0.11431428571428572,0.08327857142857142,0.0859725,0.084069,0.045142857142857144
2.5,0.029655287626036822,0.0302,0.09402142857142858,0.06167142857142857,0.062135,0.056745,0.03300714285714286
3.0,0.022878407561085338,0.022614285714285715,0.07476428571428571,0.044571428571428574,0.040845,0.035498,0.0219
3.5,0.017172541679245992,0.017557142857142858,0.05854285714285714,0.03282142857142857,0.027065,0.0210735,0.015571428571428571
4.0,0.012500818040737565,0.01235,0.04497142857142857,0.021757142857142857,0.01516,0.011529,0.009757142857142857
4.5,0.008793810530560834,0.008985714285714286,0.035114285714285716,0.0147,0.0093775,0.005831,0.006335714285714286
5.0,0.0059538671477786615,0.005957142857142857,0.027,0.0093,0.005135,0.002859,0.003921428571428571
5.5,0.0038622316428101326,0.0036785714285714286,0.01807142857142857,0.005614285714285714,0.0021075,0.001297,0.002357142857142857
6.0,0.0023882907809328075,0.0025571428571428572,0.013121428571428572,0.003007142857142857,0.0012125,0.0005205,0.0012857142857142856
6.5,0.0013998048394802327,0.0014857142857142857,0.009192857142857143,0.001432142857142857,0.0004475,0.0002075,0.0007547619047619048
7.0,0.0007726748153784444,0.0008357142857142857,0.0059642857142857145,0.0007761904761904762,0.000172,7e-05,0.0003916666666666667
7.5,0.00039879633515916267,0.00042738095238095236,0.004057142857142857,0.0003214285714285714,6.25e-05,2.675e-05,0.00018285714285714286
8.0,0.00019090777407599314,0.00015285714285714287,0.003164285714285714,0.00015214285714285715,1.625e-05,6.8e-06,7.5e-05
8.5,8.3999539179011e-05,8.642857142857143e-05,0.0017428571428571428,4.5e-05,4.75e-06,1.95e-06,3.7142857142857143e-05
9.0,3.362722841961758e-05,2.7142857142857144e-05,0.0011142857142857144,1.2857142857142857e-05,5e-07,8e-07,8.571428571428571e-06
9.5,1.210889327703371e-05,1.1428571428571429e-05,0.0005875,1.4285714285714286e-06,1e-06,2e-07,7.142857142857143e-06
10.0,3.872108215522048e-06,3.5714285714285714e-06,0.0003214285714285714,1.4285714285714286e-06,0.0,0.0,1.4285714285714286e-06
