p,uncoded_theory,uncoded,rtl,terminated
0.0020000000000000005,0.0020000000000000005,0.002,0.0008071428571428572,0.0
0.0028220575469731757,0.0028220575469731757,0.0027285714285714287,0.0012392857142857143,1.4285714285714286e-06
0.003982004399214129,0.003982004399214129,0.004035714285714286,0.0019214285714285713,1.4285714285714286e-06
0.005618722783441308,0.005618722783441308,0.005742857142857142,0.0026,2.8571428571428573e-06
0.007928179517680335,0.007928179517680335,0.008078571428571428,0.004285714285714286,2.8571428571428573e-06
0.011186889420813969,0.011186889420813969,0.011271428571428571,0.006,2.7142857142857144e-05
0.01578502285858122,0.01578502285858122,0.01562857142857143,0.00817857142857143,9.5e-05
0.022273121443601607,0.022273121443601607,0.022042857142857142,0.01295,0.00029642857142857145
0.03142801523228299,0.03142801523228299,0.03095,0.019885714285714284,0.0007880952380952381
0.04434583378632606,0.04434583378632606,0.044514285714285715,0.0335,0.0023714285714285716
0.06257324745675974,0.06257324745675974,0.06242857142857143,0.05260714285714286,0.006714285714285714
0.08829265261198443,0.08829265261198443,0.0877,0.09005,0.019421428571428572
0.12458347332296577,0.12458347332296577,0.12454285714285715,0.15025714285714287,0.05324285714285714
0.1757908655596034,0.1757908655596034,0.1763142857142857,0.23625714285714286,0.12875
0.2480459694207128,0.2480459694207128,0.24897142857142857,0.34467857142857145,0.2568642857142857
0.35,0.35,0.3497142857142857,0.44307857142857143,0.40185
