msg_bits,ebno_db,rate,p,frames,bit_errors,total_bits,rtl_ber,model_ber,uncoded_theory
7,4.0,0.35,0.09241706958999715,20000,3200,140000,0.022857142857142857,0.021657142857142857,0.012500818040737565
7,5.0,0.35,0.068399805014888,20000,1261,140000,0.009007142857142858,0.009792857142857143,0.0059538671477786615
7,6.0,0.35,0.04752340214821646,20000,347,140000,0.0024785714285714285,0.002882142857142857,0.0023882907809328075
7,7.0,0.35,0.030530844870535555,20000,96,140000,0.0006857142857142857,0.0006428571428571428,0.0007726748153784444
100,4.0,0.4854,0.05918621412361306,20000,23075,2000000,0.0115375,0.0117525,0.012500818040737565
100,5.0,0.4854,0.03987050533280246,20000,5739,2000000,0.0028695,0.002825,0.0059538671477786615
100,6.0,0.4854,0.02464986112883714,20000,1096,2000000,0.000548,0.0005645,0.0023882907809328075
100,7.0,0.4854,0.013696289587114578,20000,107,2000000,5.35e-05,7.025e-05,0.0007726748153784444
