msg_bits,message,received,decoded,pass
20,00000000000000000000,0000000000001000000000000000000000000000000000,00000000000000000000,1
20,11111010110100000010,1100100101101000011101101010110000001111101100,11111010110100000010,1
20,01010010101010011100,0011110100100111010001000100100000101001110000,01010010101010011100,1
20,01100100101110101011,0011000101000110001101111010100001000111010111,01100100101110101011,1
20,11110101011110001101,1100100110100001000111100110011111000110101011,11110101011110001101,1
20,11010000100001101011,1100011000101100111110110011000110000111011111,11010000100001101011,1
20,01100110111011100110,0011000001000001101110101011101001000001011100,01100110111011100110,1
20,11100001110101011011,1100101001110011001010100001001111011011010111,11100001110101011011,1
20,01001011111100100111,0011111000110111100101011001001110000010100110,01001011111100100111,1
20,11111111100100101001,1100100101010101011001001110001101001000111001,11111111100100101001,1
20,10001000101101010100,1111101111101011111101110110000100010010110000,10001000101101010100,1
20,10101101010001011001,1111010001110110010100101111110111010100111011,10101101010001011001,1
20,00001001100001010011,0000001011111000000101110011110100100000010111,00001001100001010011,1
20,00111011011111001011,0000110010100011011011100101100100110111010111,00111011011111001011,1
20,00000001110010100000,0000010000000011001010010011010010110000000000,00000001110010100000,1
20,11001010010000011110,1100010100110100100011101100001100100110011101,11001010010000011110,1
20,10100110011100101100,1111010010000001010010101001001101110101110000,10100110011100101100,1
20,00000000100011101011,0000000000000000111110110100101010000111010111,00000000100011101011,1
20,00010100010100000001,0000001111010010111111010010110000000010111011,00010100010100000001,1
20,10111001000101001010,0111011110100100111011111101001000110100101100,10111001000101001010,1
20,10011000010000000101,1111100000010111101111101100000000111101001011,10011000010000000101,1
20,00010111100101000010,0000001111011110111001001101001011001111101100,00010111100101000010,1
20,01000010100111011110,0011111011001111010010000010101011100110011101,01000010100111011110,1
20,10101000111010000111,1111010001001011110010101100101100110010100111,10101000111010000111,1
20,00111110101000101100,0000110010010110110001001011111101110101110000,00111110101000101100,1
20,10010011010011000101,1011100011100000011000100000010111111101001011,10010011010011000101,1
20,11110111100011000111,1100110110101110011001111100010111110010100111,11110111100011000111,1
20,01001010011011000100,0011111000110100100000011011010111111110110010,01001010011011000100,1
20,01001000010001001110,0011111000111111001111101111111000001010011100,01001000010001001110,1
20,10100110010001101001,1111010010000000010011101111000110001000111011,10100110010001101001,1
20,00011010110110100000,0000001100011000011101101101100010110000001000,00011010110110100000,1
20,01000001110111011010,0011110011000011001010101110101011011000101100,01000001110111011010,1
20,11111100100100011010,1100100100011001001110001110111100011000101100,11111100100100011010,1
20,01010000101111110010,0001110100101100111101111001010110010011101100,01010000101111110010,1
20,10001010111100101110,1111101111110100011110011001101101111010011100,10001010111100101110,1
20,10001110001001000101,1011101111001010011111111000111011111101001011,10001110001001000101,1
20,11011101001000111000,1100011011101010001000111001110010100111000000,11011101001000111000,1
20,01111110100110011011,0011001001010110100010000001110000011011010111,01111110100110011011,1
20,00011110111100100100,0000001100100110101111011001001110001110110000,00011110111100100100,1
20,10110011101101110100,1111011101010000101010110110111010100010100000,10110011101101110100,1
20,11000011010010010111,1100010111001100011100100011100011011110100111,11000011010010010111,1
20,00001100101110000010,0000000011100101001101111010011100001111101100,00001100101110000010,1
20,10011000110011010110,1111100000010111110001010000011000011101011110,10011000110011010110,1
20,01010011100000011110,0011110100100000101001110000001100100110111100,01010011100000011110,1
20,11101101100101010101,1100101010110110110101001101000100010011001011,11101101100101010101,1
20,10011100011001110011,1111100000101001110100010100001010010000010111,10011100011001110011,1
20,11010010100101111101,1100011000100011010011001101111001011010001011,11010010100101111101,1
20,01000011011000010101,0011011011001100011011010111001111010001001011,01000011011000010101,1
20,01001110010010001011,0011111000001010010011100011111111110111010111,01001110010010001011,1
20,11001101110101101001,1100010100000110111010000001110110001000111011,11001101110101101001,1
20,11110101110011100101,1100100110100001111010010000111001001101001011,11110101110011100101,1
20,10100110001000111100,1111010010001001011111111011110010011001110000,10100110001000111100,1
20,11011111110100111110,1100011011100101010010100010000010010110011100,11011111110100111110,1
20,10000000110011100001,1111101100000000110001010000100001110011111011,10000000110011100001,1
20,10011000110101011101,1111100000010111110001100001000111101010000011,10011000110101011101,1
20,11001101100100010010,1100010100000111110101001110111111100011101100,11001101100100010010,1
20,01011101111100000011,0011110111101010111001011001110000001100010110,01011101111100000011,1
20,00100101110101011100,0000011110001101111010100001000111101001110000,00100101110101011100,1
20,01001000000010101001,0001111000111011000000001111010001001000111011,01001000000010101001,1
20,10000001000101001000,1111101100000011111011111101001000111011010000,10000001000101001000,1
20,01110010100000110111,0011001010010011010000110000110001101110100111,01110010100000110111,1
20,10001110001000101000,1111101111000010011111111011111101001011000000,10001110001000101000,1
20,11101011111011110110,1000101010000111100101101011100110101101011100,11101011111011110110,1
20,10010100011001000001,1111100011010010111100010100111011001011111011,10010100011001000001,1
20,00111100001111001110,0000110010011001110011000001100100001010011100,00111100001111001110,1
20,10101010010110111001,1111010011000100100011011101101110100100111011,10101010010110111001,1
20,00100000101110101001,0000111110110000111101111010100011001000111011,00100000101110101001,1
20,00000111110000100011,0000000000110010010110011100111110110100010111,00000111110000100011,1
20,01100010011111100100,0011000101111111100000101101011001001110110000,01100010011111100100,1
20,10100111111110011111,1111010010000010010101010110110000100101100111,10100111111110011111,1
20,11100100010110111110,1100101011001110111111011101101110010110011100,11100100010110111110,1
20,11111101110110110001,1100100101111010111010101101101101011111111011,11111101110110110001,1
20,10110001000100111010,1111011111011111111011111110000010101000101100,10110001000100111010,1
20,01100011001001000011,0011000101111100010100111000111011001100110111,01100011001001000011,1
20,00000001001101110010,0000000000000011111000000111111010010011101100,00000001001101110010,1
20,00110011110000010010,0000110001010000100010011100001111100011101100,00110011110000010010,1
20,10010010010000000110,1111100011100011100011101100000100110001011100,10010010010000000110,1
20,11110101010011000100,1100100110100011000100100000010111111110110000,11110101010011000100,1
20,01001101001101100101,0011111001000110001000000110110101001101001011,01001101001101100101,1
20,10110001100010110110,1111011101001111000101111111011101101101011100,10110001100010110110,1
20,01100001101100111010,0011000101110011000110110101010010101000101100,01100001101100111010,1
20,01101111111111111110,0011000110111001010101011101010101010110011100,01101111111111111110,1
20,10100100101110111001,1111010110001110001101111010101110100100111011,10100100101110111001,1
20,01010110000110111011,0011110100001101011100110001101110101011010111,01010110000110111011,1
20,01110110110000010110,0011001010100101101101011100001111011101011100,01110110110000010110,1
20,11100001000110000110,1100101001110011111011110001011100110001111100,11100001000110000110,1
20,11111111001100010100,1100100101010101100000000101111111010010110000,11111111001100010100,1
20,10001001011100010010,1111101111111000110111111001111111100011101100,10001001011100010010,1
20,10000111010111011101,1111101100110010101000011110101011101010001010,10000111010111011101,1
20,01101110000001011100,0011000110111010011100000011110111101001110100,01101110000001011100,1
20,10111101011011110011,1111011110011010000111011011100110010000010011,10111101011011110011,1
20,11010011101001011100,1100001000100000101010001000110111101001110000,11010011101001011100,1
20,10110001110000100111,1111011101011111001010011100111110000011100111,10110001110000100111,1
20,11101001001111001101,0100101010001000111000001001100100000110001011,11101001001111001101,1
20,00000101101100101111,0000000000111101110110110101001111111001100111,00000101101100101111,1
20,00101001001011101001,0000111111001000111000110111101010001000111011,00101001001011101001,1
20,11011011110011110010,1100011011010011100110010000100110010011101100,11011011110011110010,1
20,01101000000011000000,0011000110011011000000001100010111000000000000,01101000000011000000,1
20,01101101110001000010,0010000110110110111010011111111011001111101100,01101101110001000010,1
20,01100010101010111001,0011000101111111010001000100011110100100101011,01100010101010111001,1
20,01000101011100110111,0011101011111101000111101001000001101110100111,01000101011100110111,1
20,01111011100011011101,0011001001101011101001011100011011101010001011,01111011100011011101,1
20,00111110101110000010,0000110010011110100001111010011100001111101100,00111110101110000010,1
20,10010010001110100000,1111100011100011101101001010100010110000000000,10010010001110100000,1
20,00101010010001100001,0000111101000100100011101111000101110011110011,00101010010001100001,1
20,11100100000100001110,1100101011001110110000111110110011001010011100,11100100000100001110,1
20,11001010101001110001,1100010100110100010001001100001010011111111011,11001010101001110001,1
20,01000111100100011000,0011111011100010011001001110111100010111000000,01000111100100011000,1
20,01101110011000001010,0011000110111010010000010111000111110100101100,01101110011000001010,1
20,00110101101010111001,0001110001100001110110000100011110100100111011,00110101101010111001,1
20,10100001100101101100,1111010010100011000101001101110110110101110000,10100001100101101100,1
20,11001010011001011110,1100010100110100100000011100110111100110011100,11001010011001011110,1
20,11000100000000001011,1100010111111110110001000000000011110111010111,11000100000000001011,1
20,10111011110100010101,1111011110101011100110100010111111010001001001,10111011110100010101,1
20,10010000111011001000,1111100011101100110010101011011100111011000000,10010000111011001000,1
20,10001100001001010001,1111101111000100110011111000110100101111111011,10001100001001010001,1
20,11010101000100011001,1100011000010001001001111110111100010100111011,11010101000100011001,1
20,00100101101100110101,0000111110001100110110110101000001100001001011,00100101101100110101,1
20,11101100100000110111,1100101000110101001110110000110001101110100111,11101100100000110111,1
